iter	Passed	Remaining
0	68	33946
1	84	21051
2	100	16608
3	106	13240
4	122	12081
5	135	11171
6	146	10332
7	164	10109
8	176	9638
9	187	9166
10	199	8889
11	214	8702
12	225	8454
13	239	8317
14	253	8208
15	266	8063
16	279	7952
17	291	7797
18	303	7691
19	317	7618
20	328	7486
21	341	7416
22	353	7326
23	366	7262
24	381	7250
25	394	7190
26	407	7135
27	418	7052
28	427	6950
29	440	6905
30	450	6819
31	461	6752
32	470	6660
33	480	6587
34	489	6502
35	500	6453
36	509	6379
37	521	6343
38	531	6276
39	541	6222
40	551	6175
41	561	6128
42	571	6072
43	581	6030
44	592	5986
45	602	5943
46	611	5892
47	622	5860
48	632	5819
49	643	5788
50	652	5748
51	672	5797
52	683	5764
53	693	5725
54	703	5694
55	716	5676
56	725	5636
57	736	5615
58	746	5577
59	758	5563
60	770	5543
61	781	5518
62	792	5495
63	792	5495
64	802	5456
65	811	5418
66	824	5411
67	835	5386
68	846	5366
69	1019	6354
70	1034	6342
71	1047	6317
72	1058	6277
73	1071	6253
74	1089	6255
75	1098	6209
76	1112	6192
77	1123	6155
78	1133	6117
79	1148	6106
80	1159	6074
81	1171	6044
82	1183	6020
83	1195	5989
84	1207	5968
85	1217	5931
86	1228	5900
87	1237	5862
88	1249	5837
89	1260	5808
90	1272	5782
91	1282	5747
92	1294	5727
93	1308	5712
94	1320	5687
95	1332	5665
96	1346	5654
97	1356	5621
98	1371	5610
99	1383	5590
100	1396	5572
101	1416	5582
