timestamp,name,cpu_perc,mem_usage,mem_limit
2026-05-04T20:26:05-03:00,fraud-lb,0.00%,4.02MiB,30MiB
2026-05-04T20:26:05-03:00,fraud-api-01,0.00%,12.32MiB,160MiB
2026-05-04T20:26:05-03:00,fraud-api-02,0.00%,12.34MiB,160MiB
2026-05-04T20:26:10-03:00,fraud-lb,0.00%,4.016MiB,30MiB
2026-05-04T20:26:10-03:00,fraud-api-01,0.00%,12.32MiB,160MiB
2026-05-04T20:26:10-03:00,fraud-api-02,0.00%,12.35MiB,160MiB
2026-05-04T20:26:14-03:00,fraud-lb,0.34%,4.047MiB,30MiB
2026-05-04T20:26:14-03:00,fraud-api-01,0.13%,12.38MiB,160MiB
2026-05-04T20:26:14-03:00,fraud-api-02,0.11%,12.41MiB,160MiB
2026-05-04T20:26:19-03:00,fraud-lb,1.48%,4.234MiB,30MiB
2026-05-04T20:26:19-03:00,fraud-api-01,0.37%,12.4MiB,160MiB
2026-05-04T20:26:19-03:00,fraud-api-02,0.31%,12.43MiB,160MiB
2026-05-04T20:26:23-03:00,fraud-lb,2.24%,4.234MiB,30MiB
2026-05-04T20:26:23-03:00,fraud-api-01,0.51%,12.4MiB,160MiB
2026-05-04T20:26:23-03:00,fraud-api-02,0.56%,12.43MiB,160MiB
2026-05-04T20:26:28-03:00,fraud-lb,2.95%,4.23MiB,30MiB
2026-05-04T20:26:28-03:00,fraud-api-01,0.84%,12.41MiB,160MiB
2026-05-04T20:26:28-03:00,fraud-api-02,0.85%,12.43MiB,160MiB
2026-05-04T20:26:32-03:00,fraud-lb,3.98%,4.23MiB,30MiB
2026-05-04T20:26:32-03:00,fraud-api-01,1.45%,12.4MiB,160MiB
2026-05-04T20:26:32-03:00,fraud-api-02,0.95%,12.43MiB,160MiB
2026-05-04T20:26:37-03:00,fraud-lb,4.73%,4.234MiB,30MiB
2026-05-04T20:26:37-03:00,fraud-api-01,2.12%,12.43MiB,160MiB
2026-05-04T20:26:37-03:00,fraud-api-02,1.22%,12.45MiB,160MiB
2026-05-04T20:26:41-03:00,fraud-lb,5.19%,4.266MiB,30MiB
2026-05-04T20:26:41-03:00,fraud-api-01,1.36%,12.6MiB,160MiB
2026-05-04T20:26:41-03:00,fraud-api-02,1.34%,12.6MiB,160MiB
2026-05-04T20:26:46-03:00,fraud-lb,5.28%,4.297MiB,30MiB
2026-05-04T20:26:46-03:00,fraud-api-01,1.32%,12.8MiB,160MiB
2026-05-04T20:26:46-03:00,fraud-api-02,1.37%,12.77MiB,160MiB
2026-05-04T20:26:50-03:00,fraud-lb,5.28%,4.562MiB,30MiB
2026-05-04T20:26:50-03:00,fraud-api-01,1.31%,12.86MiB,160MiB
2026-05-04T20:26:50-03:00,fraud-api-02,1.26%,13.1MiB,160MiB
2026-05-04T20:26:54-03:00,fraud-lb,5.12%,4.41MiB,30MiB
2026-05-04T20:26:54-03:00,fraud-api-01,1.18%,12.92MiB,160MiB
2026-05-04T20:26:54-03:00,fraud-api-02,1.28%,12.86MiB,160MiB
2026-05-04T20:26:59-03:00,fraud-lb,5.09%,5.098MiB,30MiB
